country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","25-10-2025 18:00:00",25.7808257,84.7446768,NH3,3,9,4
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","25-10-2025 18:00:00",25.7808257,84.7446768,SO2,20,21,20
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","25-10-2025 18:00:00",24.7955,84.9994,NO2,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","25-10-2025 18:00:00",16.5150833,80.5181667,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","25-10-2025 18:00:00",13.204880,79.097889,PM2.5,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","25-10-2025 18:00:00",24.792403,84.992416,SO2,15,16,16
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","25-10-2025 18:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","25-10-2025 18:00:00",26.63086,84.90051,OZONE,2,3,2
India,Bihar,Munger,"Town Hall, Munger - BSPCB","25-10-2025 18:00:00",25.376776,86.471523,PM10,38,148,81
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-10-2025 18:00:00",26.11442,85.39813,NO2,8,35,17
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-10-2025 18:00:00",26.11442,85.39813,NH3,4,9,5
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-10-2025 18:00:00",26.11442,85.39813,SO2,3,6,4
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","25-10-2025 18:00:00",26.1403345,85.3650192,PM10,49,68,53
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","25-10-2025 18:00:00",26.1403345,85.3650192,NO2,5,12,7
