city,latitude,longitude,avg_pollution
Indore,22.431000,75.521300,56.14
Amravati,20.940236,77.789525,26
Amravati,20.939198,77.765701,21.71
Aurangabad,19.838944,75.244448,23.17
Jabalpur,23.163174,79.973061,43.71
Jabalpur,23.142888,79.916147,60.57
Jabalpur,23.168606,79.932247,61.71
Jabalpur,23.218135,79.957770,74
Kannur,11.875000,75.373200,25.43
Thiruvananthapuram,8.563700,76.886500,18.86
Thiruvananthapuram,8.514909,76.943588,21.86
Bhopal,23.210494,77.425409,63.43
Bhopal,23.233584,77.400574,69.29
Jalna,19.854616,75.905894,19.43
Kalyan,19.252920,73.142019,35
Kalyan,19.192056,72.958519,22.71
Kolhapur,16.687045,74.250587,12.29
Latur,18.399630,76.574520,14.57
Mahad,18.102340,73.478369,42.71
Malegaon,20.555712,74.529236,29.71
Mira-Bhayandar,19.296481,72.840923,20.14
Chandrapur,19.962900,79.298714,19.29
Chandrapur,19.977530,79.233709,29.71
Dhule,20.918946,74.776388,20.57
Jalgaon,21.001264,75.565602,22
Mumbai,19.053536,72.846430,15.8
Mumbai,19.065931,72.862131,25.17
Mumbai,19.232410,72.868950,54.83
Mumbai,19.224333,72.865811,16.29
Mumbai,19.197090,72.822040,31.57
Mumbai,19.187866,72.830407,21.43
Mumbai,19.175000,72.941900,26.25
Mumbai,18.897756,72.813320,30.71
Mumbai,19.063214,72.845632,21.29
Mumbai,19.165332,72.922099,22.33
Mumbai,19.086300,72.888800,26.57
Mumbai,18.910000,72.820000,21.17
Mumbai,19.205800,72.868200,23.25
Mumbai,19.215859,72.831718,15.33
Mumbai,19.137500,72.915056,21
Mumbai,19.000084,72.856730,16.57
Mumbai,19.000083,72.813993,29.17
Mumbai,18.976700,72.838000,21
Mumbai,19.036459,72.895437,23.5
Pimpri-Chinchwad,18.590510,73.779460,21.29
Pimpri-Chinchwad,18.614767,73.799516,36.6
Pimpri-Chinchwad,18.616318,73.765797,27.71
Pune,18.501793,73.927532,29
"Navi Mumbai",19.025790,73.102970,24.71
"Navi Mumbai",19.063000,73.120900,29.14
Parbhani,19.265594,76.761463,19
Pimpri-Chinchwad,18.636730,73.824870,25
Pune,18.573040,73.927715,38.2
Pune,18.536457,73.805454,28.8
Pune,18.530085,73.849598,53.6
Pune,18.547056,73.826908,26
Pune,18.664282,73.763966,36
Thane,19.222279,72.957979,19.17
Ulhasnagar,19.235581,73.159121,30.29
Virar,19.445821,72.798823,22
Shillong,25.580342,91.894257,10
Nagpur,21.121801,79.049520,23.43
Nagpur,21.144720,79.107595,22.43
Nagpur,21.152875,79.051753,21.29
Nagpur,21.143383,79.048912,20.57
Sangli,16.503800,74.362300,17.14
Solapur,17.633626,75.913250,9.43
Solapur,17.654390,75.906490,13.5
Thane,19.267770,72.971820,14.29
Nanded,19.173852,77.296291,20.86
Nashik,20.007329,73.776243,15
Nashik,20.021503,73.813844,24.86
Nashik,19.950220,73.731480,18.86
Mumbai,19.047000,72.874600,23.33
Mumbai,19.108610,72.836220,22.43
Mumbai,18.993616,72.812811,28
"Navi Mumbai",19.113505,73.008978,32.86
"Navi Mumbai",19.008751,73.016620,23.5
Barmer,25.747299,71.393989,48.86
Bharatpur,27.215415,77.508730,91.86
Bhilwara,25.339605,74.618883,59
Bhiwadi,28.194909,76.862296,84.29
Shillong,25.558600,91.898500,8
Kohima,25.663541,94.098988,30.29
Angul,20.832874,85.104082,54.43
Balasore,21.511610,86.890880,39.5
Barbil,22.116605,85.394555,69.14
Puducherry,11.930900,79.802700,18.43
Bathinda,30.233011,74.907758,95.2
Jalandhar,31.321907,75.578914,64.29
Bileipada,22.061567,85.474096,36.14
Brajrajnagar,21.800500,83.839698,37.14
Byasanagar,20.941850,86.115100,43.14
Nayagarh,21.847279,85.416905,30.8
Rairangpur,22.265816,86.174829,34.17
Rourkela,22.189722,84.862778,31.6
